video_id,group,4b_success,9b_official_success,9b_salvaged,salvaged_temporal,4b_precision,4b_recall,4b_f1,4b_tiou,9b_official_precision,9b_official_recall,9b_official_f1,9b_official_tiou,9b_salvaged_precision,9b_salvaged_recall,9b_salvaged_f1,9b_salvaged_tiou,4b_coverage,9b_coverage,9b_official_coverage,9b_salvaged_coverage,4b_segment_count,9b_segment_count,9b_official_segment_count,9b_salvaged_segment_count,4b_raw_candidate_count,9b_raw_candidate_count,schema_compliant,schema_failure_reason,delta_precision,delta_recall,delta_f1,delta_tiou,notes
qvh_000008_9x16,complex_multi_segment,true,false,true,true,0.3415018654581244,0.9854525639649606,0.5072274999840639,0.3397888827524951,,,,,0.23404481441976216,1.0,0.3793133145327597,0.23404481441976216,0.6753626460348161,0.9999893384912958,,0.9999893384912958,4,6,,6,4,6,false,segments[0].score must be a number,-0.10745705103836223,0.014547436035039385,-0.12791418545130423,-0.10574406833273292,SALVAGED|TEMPORAL_ONLY|NON_OFFICIAL_PIPELINE_RESULT
qvh_000134_9x16,complex_multi_segment,true,true,false,false,0.21693121693121684,1.0,0.35652173913043467,0.21693121693121684,0.21693121693121684,1.0,0.35652173913043467,0.21693121693121684,0.21693121693121684,1.0,0.35652173913043467,0.21693121693121684,1.0,1.0,1.0,1.0,1,1,1,1,1,1,true,,0.0,0.0,0.0,0.0,official_equals_temporal_diagnostic
qvh_000089_9x16,complex_multi_segment,true,true,false,false,0.3810173810173811,0.7345614035087717,0.5017676313739589,0.3349064149736042,0.40640640640640646,0.9971929824561401,0.5774662196484812,0.4059420082845308,0.40640640640640646,0.9971929824561401,0.5774662196484812,0.4059420082845308,0.6659999999999999,0.8476363636363635,0.8476363636363635,0.8476363636363635,3,1,1,1,3,1,true,,0.025389025389025377,0.2626315789473683,0.07569858827452236,0.07103559331092663,official_equals_temporal_diagnostic
qvh_000829_9x16,complex_multi_segment,true,true,false,false,0.4987077689553169,1.0,0.6655170264486506,0.498707768955317,0.5036477987421384,1.0,0.6699012882717083,0.5036477987421384,0.5036477987421384,1.0,0.6699012882717083,0.5036477987421384,0.999986025974026,0.9901776623376624,0.9901776623376624,0.9901776623376624,5,5,5,5,6,5,true,,0.004940029786821509,0.0,0.0043842618230576225,0.004940029786821398,official_equals_temporal_diagnostic
qvh_000358_9x16,complex_multi_segment,true,true,false,false,0.61102549733819,1.0,0.7585547197704249,0.61102549733819,0.61102549733819,1.0,0.7585547197704249,0.61102549733819,0.61102549733819,1.0,0.7585547197704249,0.61102549733819,0.9999873255425709,0.9999873255425709,0.9999873255425709,0.9999873255425709,3,3,3,3,3,3,true,,0.0,0.0,0.0,0.0,official_equals_temporal_diagnostic
qvh_000553_9x16,boundary_or_difficult,true,true,false,false,0.8537,0.9162820650423955,0.8838846611792721,0.7919294990723562,0.8250187316940264,1.0,0.904120837081189,0.8250187316940264,0.8250187316940264,1.0,0.904120837081189,0.8250187316940264,0.8854772727272726,0.9999762954545454,0.9999762954545454,0.9999762954545454,5,3,3,3,5,3,true,,-0.028681268305973617,0.08371793495760449,0.020236175901916842,0.033089232621670184,official_equals_temporal_diagnostic
qvh_000721_9x16,boundary_or_difficult,true,true,false,false,0.6192893401015227,1.0,0.7648902821316613,0.6192893401015228,0.5646258503401359,0.680327868852459,0.6171003717472118,0.4462365591397848,0.5646258503401359,0.680327868852459,0.6171003717472118,0.4462365591397848,1.0,0.7461928934010152,0.7461928934010152,0.7461928934010152,4,4,4,4,4,4,true,,-0.054663489761386796,-0.319672131147541,-0.14778991038444955,-0.17305278096173798,official_equals_temporal_diagnostic
qvh_000363_9x16,boundary_or_difficult,true,true,false,false,0.21383647798742136,1.0,0.35233160621761656,0.21383647798742134,0.21383647798742136,1.0,0.35233160621761656,0.21383647798742134,0.21383647798742136,1.0,0.35233160621761656,0.21383647798742134,1.0,1.0,1.0,1.0,3,3,3,3,3,3,true,,0.0,0.0,0.0,0.0,official_equals_temporal_diagnostic
qvh_000574_9x16,boundary_or_difficult,true,false,true,true,0.9883093114177578,1.0,0.9941202867606619,0.9883093114177579,,,,,1.0,0.9667751603235475,0.9831069456505711,0.9667751603235475,1.000000008554729,0.9554729011689692,,0.9554729011689692,6,7,,7,6,7,false,segments[0].score must be a number,0.011690688582242204,-0.03322483967645251,-0.01101334111009078,-0.02153415109421042,SALVAGED|TEMPORAL_ONLY|NON_OFFICIAL_PIPELINE_RESULT
qvh_000915_9x16,boundary_or_difficult,true,true,false,false,0.544,1.0,0.7046632124352332,0.544,0.68,1.0,0.8095238095238095,0.68,0.68,1.0,0.8095238095238095,0.68,0.2615062761506276,0.20920502092050208,0.20920502092050208,0.20920502092050208,1,1,1,1,1,1,true,,0.136,0.0,0.10486059708857631,0.136,official_equals_temporal_diagnostic
